iter	MultiClass
0	1.773092441
1	1.637284891
2	1.539844111
3	1.419210087
4	1.322719711
5	1.258656735
6	1.181995941
7	1.116633056
8	1.060091414
9	1.020027801
10	0.9827114671
11	0.9459846346
12	0.9059581415
13	0.8649903035
14	0.8309039666
15	0.7943378975
16	0.7596432581
17	0.7368088062
18	0.7128961951
19	0.6881588484
20	0.6643804515
21	0.6445517629
22	0.6256129213
23	0.6072117732
24	0.5916947103
25	0.5774874699
26	0.5638746838
27	0.5511406258
28	0.5358276936
29	0.5278275904
30	0.5180532546
31	0.5028513092
32	0.4926309101
33	0.4800686572
34	0.472430683
35	0.4627160579
36	0.4531358524
37	0.4463612825
38	0.4375808335
39	0.4309239846
40	0.4250708766
41	0.4180262254
42	0.4110103596
43	0.4066679096
44	0.4008114801
45	0.3955895119
46	0.3894228872
47	0.3823935196
48	0.3766091502
49	0.3726232307
50	0.366191676
51	0.360287888
52	0.3556417376
53	0.3522091319
54	0.3490770802
55	0.3454733791
56	0.3423727364
57	0.3381319549
58	0.332045448
59	0.3286469066
60	0.32538425
61	0.3224124525
62	0.3175188817
63	0.3128723431
64	0.308075674
65	0.3049841787
66	0.3025323247
67	0.2998255284
68	0.2972253879
69	0.2946515788
70	0.2926994715
71	0.2889083457
72	0.2865298809
73	0.2845561225
74	0.2824794626
75	0.2808373571
76	0.2753736861
77	0.2723348745
78	0.2706883036
79	0.2690172597
80	0.2675944239
81	0.2639254783
82	0.2592961277
83	0.2574800274
84	0.2561636743
85	0.253827317
86	0.2515297787
87	0.2495478161
88	0.2471012973
89	0.2442533943
90	0.2423398726
91	0.2395745453
92	0.2360817532
93	0.2336401086
94	0.2308802507
95	0.2256496742
96	0.2234903848
97	0.2208025276
98	0.2168212943
99	0.2142847434
100	0.2123052793
101	0.2105264934
102	0.2073665885
103	0.2061485943
104	0.204658661
105	0.2019842758
106	0.2003619008
107	0.1977125079
108	0.1965018039
109	0.1953188692
110	0.1928752242
111	0.1920327035
112	0.1910409219
113	0.1902536285
114	0.1887128837
115	0.187758617
116	0.1850812306
117	0.1836082504
118	0.1814271584
119	0.1802743258
120	0.1792998483
121	0.1781773919
122	0.1771884162
123	0.1755732849
124	0.1732272017
125	0.172701624
126	0.1707414534
127	0.169367426
128	0.168695793
129	0.1679814542
130	0.1666666882
131	0.1653273209
132	0.1637844207
133	0.162836307
134	0.1607223176
135	0.1595213277
136	0.1579457191
137	0.15710546
138	0.1559299325
139	0.154673599
140	0.1537150305
141	0.1519646291
142	0.1516573388
143	0.1508653833
144	0.1502124666
145	0.1489473005
146	0.1476896081
147	0.1466663624
148	0.1458034131
149	0.1452455536
150	0.1437851235
151	0.143357216
152	0.1428564913
153	0.1416989976
154	0.141052011
155	0.1397540749
156	0.1389363293
157	0.1380122686
158	0.1368811838
159	0.1364176371
160	0.1353725048
161	0.1333347895
162	0.1328759726
163	0.1324384972
164	0.131519286
165	0.1311008302
166	0.1299909899
167	0.1295352003
168	0.1283811004
169	0.1271610525
170	0.1267553325
171	0.1263940454
172	0.1250151087
173	0.1238741952
174	0.1234217843
175	0.1228971768
176	0.1222463104
177	0.1219559299
178	0.120872296
179	0.1206227653
180	0.1197519418
181	0.1193735472
182	0.1187954928
183	0.1184828824
184	0.1177291756
185	0.1171002497
186	0.1164837408
187	0.1161066962
188	0.1153664011
189	0.1145300192
190	0.114001326
191	0.1133642054
192	0.1122753192
193	0.1115551818
194	0.1109725639
195	0.1103771165
196	0.1101207726
197	0.1094194756
198	0.1087267545
199	0.1080523488
200	0.1077060369
201	0.1071758194
202	0.1064979188
203	0.1057799971
204	0.104824678
205	0.1035216446
206	0.1031689823
207	0.1025947488
208	0.1017148178
209	0.1012906643
210	0.101175856
211	0.1005124669
212	0.09964782932
213	0.09900048583
214	0.09805660046
215	0.09763695815
216	0.09724516278
217	0.0962879954
218	0.09582854468
219	0.09527736271
220	0.09471890084
221	0.09438696857
222	0.0938855153
223	0.09340928619
224	0.09280410086
225	0.09220087749
226	0.09188280621
227	0.0913629205
228	0.09089499769
229	0.09046953616
230	0.09009413045
231	0.0895938618
232	0.08903546173
233	0.08863862596
234	0.08840889411
235	0.08796312258
236	0.08758889668
237	0.08737339034
238	0.08691909883
239	0.0864971595
240	0.08610082019
241	0.08566241783
242	0.08530230297
243	0.08482722636
244	0.0845510403
245	0.08422920886
246	0.08358428369
247	0.08313253825
248	0.0829174552
249	0.08235948156
250	0.08157129481
251	0.08112235997
252	0.08061146687
253	0.0805198289
254	0.08019300955
255	0.07989578899
256	0.07948149704
257	0.07916474839
258	0.07898463598
259	0.07871405745
260	0.07813977118
261	0.07773557775
262	0.07757082863
263	0.07714808447
264	0.07687163902
265	0.07671766978
266	0.0764646922
267	0.07620327936
268	0.07598256969
269	0.07556892917
270	0.0750131675
271	0.07437732997
272	0.07363871341
273	0.07352777868
274	0.07326636029
275	0.07299098351
276	0.07279679963
277	0.07261331358
278	0.07230690115
279	0.07207805843
280	0.07175874663
281	0.07157364428
282	0.0712625115
283	0.07109438451
284	0.07096481701
285	0.07072152018
286	0.07045011916
287	0.07010731075
288	0.06990482706
289	0.06962108271
290	0.06952182607
291	0.06936878081
292	0.06926115793
293	0.06899070141
294	0.06871961914
295	0.06852328586
296	0.06821307257
297	0.06789115482
298	0.06759014261
299	0.06730627608
300	0.06716298618
301	0.06703621866
302	0.06644946357
303	0.06636079246
304	0.06628523919
305	0.06608878207
306	0.06594528401
307	0.06574839063
308	0.06547842146
309	0.06531036163
310	0.06499671614
311	0.06483544005
312	0.06466631659
313	0.06453285643
314	0.06429018736
315	0.0640711727
316	0.0637769406
317	0.06337521684
318	0.06323281693
319	0.06311953527
320	0.06272869826
321	0.06249291807
322	0.06215285585
323	0.06208287064
324	0.06200451805
325	0.06145706277
326	0.06130054369
327	0.06117909514
328	0.06104989837
329	0.06084932385
330	0.06059843383
331	0.06042203028
332	0.05997750116
333	0.05976634835
334	0.05958360368
335	0.05931467131
336	0.05915322204
337	0.05889909019
338	0.05876869505
339	0.0585849745
340	0.05846182658
341	0.058282075
342	0.05817658413
343	0.05801958163
344	0.05791818789
345	0.05780396683
346	0.05756096465
347	0.05740597471
348	0.05724211336
349	0.05685330753
350	0.05671743924
351	0.05660732528
352	0.05645465175
353	0.05624268478
354	0.05607325962
355	0.05573294923
356	0.0556429545
357	0.05545835483
358	0.0552503371
359	0.05493872307
360	0.05473481163
361	0.0545675871
362	0.0544113208
363	0.05418846116
364	0.05394831523
365	0.05389033349
366	0.05366584848
367	0.05357496477
368	0.0533255547
369	0.05314538962
370	0.05301228785
371	0.05271410257
372	0.05246680199
373	0.05209341497
374	0.0519704255
375	0.05184215052
376	0.05164595955
377	0.05153907512
378	0.05143775598
379	0.0512465466
380	0.05117157785
381	0.05104804936
382	0.05091668455
383	0.05073110042
384	0.05057262009
385	0.05044707563
386	0.05030328663
387	0.05015834236
388	0.05008505603
389	0.04997274377
390	0.04978457033
391	0.04969067825
392	0.04963975838
393	0.04954320829
394	0.04938227835
395	0.04915434978
396	0.04884700694
397	0.04864832122
398	0.04857657535
399	0.04837241289
400	0.0480488054
401	0.04793078811
402	0.04779783065
403	0.04774301553
404	0.04766584772
405	0.04758231506
406	0.04749976943
407	0.04725971957
408	0.04716768637
409	0.04703637744
410	0.04692589784
411	0.04688684826
412	0.04679012552
413	0.04664851835
414	0.04657078425
415	0.04655885415
416	0.04641537875
417	0.0463413021
418	0.04616601524
419	0.04605306302
420	0.04599747724
421	0.04587841688
422	0.04580247839
423	0.04572557672
424	0.04557646895
425	0.04546906736
426	0.04537178667
427	0.04529937393
428	0.04516162335
429	0.04503846852
430	0.04483487497
431	0.04470141642
432	0.04458000903
433	0.04426215505
434	0.0441948374
435	0.04413931892
436	0.0440903078
437	0.04394418774
438	0.04387754495
439	0.04372830547
440	0.04363914504
441	0.04359242632
442	0.04347056417
443	0.04336078164
444	0.0432575159
445	0.04310928076
446	0.0430292171
447	0.04290201645
448	0.04274549863
449	0.04267570705
450	0.04259065729
451	0.04251154665
452	0.04236382927
453	0.04224385269
454	0.04209302749
455	0.04197264544
456	0.0418584517
457	0.04172182125
458	0.04150100442
459	0.04143176904
460	0.04134411506
461	0.0412590368
462	0.04116841495
463	0.04112298364
464	0.04106056636
465	0.041002834
466	0.04080244576
467	0.04068161209
468	0.04053790195
469	0.04047332978
470	0.04040721634
471	0.04030619183
472	0.04020794367
473	0.04008654152
474	0.04002495042
475	0.03994321149
476	0.03986306336
477	0.03974898883
478	0.03965608481
479	0.0395385541
480	0.03946811447
481	0.0393495745
482	0.03924844369
483	0.0391672872
484	0.03904271656
485	0.03896862356
486	0.03889663666
487	0.03874269333
488	0.03869502206
489	0.03861645262
490	0.03846763167
491	0.03836961243
492	0.03821938251
493	0.03806125188
494	0.03799493019
495	0.03780249989
496	0.03770101712
497	0.03760868205
498	0.03755941186
499	0.03750599468
500	0.0374107761
501	0.03734518073
502	0.03726963714
503	0.03719039931
504	0.03706354418
505	0.03688808032
506	0.03680297957
507	0.03676173422
508	0.03674748349
509	0.03669763029
510	0.03663580259
511	0.03656642551
512	0.0364447303
513	0.03636434907
514	0.03629847705
515	0.03621304063
516	0.03614695878
517	0.03611439333
518	0.03605273057
519	0.03590725495
520	0.03587153224
521	0.03584732647
522	0.03576317559
523	0.03564591885
524	0.03558013894
525	0.03546093998
526	0.03537030778
527	0.03528456204
528	0.03521378132
529	0.0351096158
530	0.03502375341
531	0.03494799381
532	0.03479496003
533	0.03473842053
534	0.03469325378
535	0.03463480614
536	0.03457941769
537	0.03429730796
538	0.03411858628
539	0.03406592411
540	0.03399912689
541	0.03389943467
542	0.03376606658
543	0.0337203251
544	0.03362028608
545	0.03351165879
546	0.03347022576
547	0.03332966806
548	0.03327102217
549	0.03321497621
550	0.03316019219
551	0.03308498417
552	0.03299092198
553	0.03286811829
554	0.03281534205
555	0.03276288393
556	0.03268802109
557	0.03263865451
558	0.03257564362
559	0.03249310609
560	0.03244507232
561	0.03239552448
562	0.03235201613
563	0.03225133528
564	0.03221110186
565	0.03218288235
566	0.03213973519
567	0.03204278974
568	0.03192850004
569	0.03181096389
570	0.03178545531
571	0.03173212964
572	0.03169098545
573	0.03159103023
574	0.03150629696
575	0.03147351269
576	0.03145087155
577	0.03138791471
578	0.03129158864
579	0.03123648168
580	0.0312059639
581	0.03118037239
582	0.03112864513
583	0.03107676939
584	0.03101238194
585	0.03094351734
586	0.03087641499
587	0.03082773034
588	0.03076471737
589	0.03060957466
590	0.03047247918
591	0.03041288379
592	0.03031196868
593	0.03025341052
594	0.03020310475
595	0.03013950578
596	0.03006477736
597	0.03000817933
598	0.02993887785
599	0.02987922819
600	0.02982449172
601	0.0296582978
602	0.02961389166
603	0.02957844895
604	0.02953027114
605	0.02938551491
606	0.02930528717
607	0.02926638341
608	0.02919409728
609	0.02912472572
610	0.02909261841
611	0.02905307829
612	0.02895167456
613	0.02891034741
614	0.02885051413
615	0.02881868726
616	0.0287332898
617	0.0286984021
618	0.02867307052
619	0.02860026161
620	0.02855014872
621	0.02847928642
622	0.02839740006
623	0.02826883379
624	0.02821102744
625	0.0281395465
626	0.02810664708
627	0.02807799821
628	0.02796290957
629	0.02790832284
630	0.02785378849
631	0.02780682385
632	0.0277758422
633	0.02773702376
634	0.02768794395
635	0.02760746802
636	0.02754909032
637	0.02748664118
638	0.0274540153
639	0.02741574747
640	0.02736319333
641	0.02732117073
642	0.02725903195
643	0.02722204588
644	0.02717635623
645	0.02711879467
646	0.0271096268
647	0.02708085746
648	0.02701669765
649	0.02691471723
650	0.02687181356
651	0.02681505734
652	0.02679612867
653	0.02676907762
654	0.02675057868
655	0.02671698346
656	0.02666393185
657	0.02656809785
658	0.02652478832
659	0.02646678025
660	0.02642364248
661	0.02638538916
662	0.02629068938
